name,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
ClaudIA - Chatbot for the invoicing portal for purchases by public authorities,Unknown,https://www.cio-online.com/actualites/lire-chorus-pro-aussi-aide-ses-utilisateurs-avec-un-chatbot-10199.html,,"Chatbot has been put in place by the AIFE (State Financial IT Agency) for users of the information system Chorus of SME's and microbusinesses. Available since the end of 2017, this chatbot, called Claudia, is based on IBM's Watson artificial intelligence technology. The AIFE indicates that the number of support contacts ""has not stopped increasing, going from 20,000 per month to more than 40,000 (with a peak at 55,000 in January) all channels combined (phone calls, files, live chat , emails, avatar, chatbot). The requests handled manually by level 1 support operators now represent a volume of more than 15,000 per month (18,000 in January!). The AIFE anticipates a doubling of support requests each year. Before Claudia, only half of the requests were processed automatically. Today, the rate has risen to 65%. “In two months, ClaudIA handled more than 10,000 conversations, with an average of 3.5 interactions per conversation,” says AIFE. Claudia takes the user context into account and knows how to detect inappropriate interactions.",National,France,State Financial IT Agency,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Natural language processing,Unknown,Unknown
Datakalab - Covid-19 Mask wearing  detection In some French cities,Unknown,https://www.bbc.com/news/world-europe-52529981,,"France has authorised the use of surveillance cameras to monitor whether passengers on public transport are abiding by the requirement to wear masks. However, France’s data protection watchdog CNIL called out the practice, saying it was not governed by any legal framework and was therefore illegal. It’s part of the city’s efforts to end lockdown and help prevent the spread of Covid-19, but it’s raised concerns from the government’s privacy watchdog. The authority began a three-month test of its software from French tech company Datakalab this week at the Chatelet-Les-Halles station in the heart of Paris, normally used by about 33 million passengers per year. Monitors will have access to a dashboard with the proportion of riders believed to be wearing masks. France planned to make mask wearing mandatory in public transportation from May 11 2019 as it planned to ease lockdown measures. The AI was regarded to be able to supplement enforcement agents in stations. Still, CNIL, the government body in charge of privacy, raised concerns that this type of technology carries a risk that the identity of the people being analyzed could be reconstructed. The measures would also qualify under Europe’s General Data Protection Regulation because the cameras will be collecting people’s personal data. The project has been terminated earlier due to ethical concerns and the impossiblity to oppose the results of the system. https://www.bfmtv.com/tech/trop-intrusives-les-cameras-de-detection-de-masques-desactivees-a-paris-et-a-cannes_AN-202006220163.html ",Local,France,Public transport,Governmental,2021/01/01,Unknown,,Health,Health n.e.c.,Unknown,Unknown,Computer vision,Unknown,Unknown
French Fraud - Fraud detection value declarations,Unknown,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,,A supervised deep mining algorithm is used by French customs in order to detect fraud with value declarations and to analyze cases of identiy fraud or import trafficiking.,National,France,French Customs,Governmental,2021/01/01,Unknown,,Public order and safety,Police Services,Unknown,Unknown,Machine learning,Unknown,Unknown
IAlim - Targeting restaurant health inspections,Unknown,https://agriculture.gouv.fr/telecharger/116478?token=34e41e9143e50e1be2324f7d9bf7f7fceffe7183e5e97acb34d333c90a70b5a6,,"Since November 2019, Ministry of Agriculture inspectors have been able to use “Food AI” (IAlim) to assist them in targeting their restaurant health inspections more effectively. Refine the targeting of establishments to be inspected in the direct-to-consumer delivery sector (restaurants, food service businesses, distributors) through consumer feedback on online notification sites. ",National,France,The General Food Directorate (DGAL) of the Ministry of Agriculture and Food ,Governmental,2021/01/01,Unknown,,Health,Public health services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
LaBonneBoite - Identification of companies with a high probability of hiring,Unknown,https://ec.europa.eu/social/BlobServlet?docId=20605&langId=en,,"La Bonne Boite is an online tool that identifies companies with a high probability of hiring within the next six months in the sector and area selected by the seeker. The objective of La Bonne Boite is to help jobseekers find job opportunities that are not published by employers (i.e. ""hidden vacancies"") and to predict which companies are most likely to hire in the near  future. La Bonne Boite is one of the most used job searching services in France and it is about to be further developed in order to target more specific types of jobseekers, like students, that are looking for part-time jobs. This search engine improves a jobseeker's chance of securing a job interview on the basis of spontaneous job applications. La Bonne Boite's computer code can be copied and used by others. There is also an Application Programming Interface (API) which enables the duplication of La Bonne Boite on other websites. ",National,France,Pôle emploi,Governmental,2021/01/01,Unknown,,Social protection,Unemployment.,Unknown,Unknown,Searching,Unknown,Unknown
"OpenJustice - Open case law, pseudonymization and enrichment of court decisions",Unknown,https://entrepreneur-interet-general.etalab.gouv.fr/defis/2019/openjustice.html,,"The Court of Cassation , in conjunction with the Ministry of Justice, wishes to develop automatic learning techniques in order to identify the data to be pseudonymized in court decisions before making them accessible and reusable. The results of this work will profoundly transform the dissemination of case law, strengthen the consistency of decisions rendered and citizens' confidence in the judiciary; they can be widely applied to other types of data.This machine learning model to automatically pseudonymize case law data and foster open data of case law. . Aims to foster open data and the development of legal tech start ups",National,France,Unknown,Governmental,2021/01/01,Unknown,,Public order and safety,Law courts,Unknown,Unknown,Machine learning,Unknown,Unknown
RenoiRH - Chatbot in HR management rules to facilitate access,Unknown,https://www.soprahr.com/docs/librariesprovider45/Documents/customer-testimonials---temoignage-clients/t%C3%A9moignage_le-cisirh-innove-avec-son-chatbot-rh-docx.pdf?sfvrsn=7eb4345b_2,,"Interministerial Center for IT Services Relating to Human Resources (CISIRH) has developed a chatbot specialized in HR management rules to facilitate access to information. The public service includes a large number of standards, nomenclatures and written rules such as those relating to the mobility of agents and their career development.",National,France,Interministerial Center for IT Services Relating to Human Resources,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Natural language processing,Unknown,Unknown
SignauxFaibles - Predictive analysis of business difficulties,Unknown,https://beta.gouv.fr/startups/signaux-faibles.html,,"The detection of weak signals, which indicate a deterioration in the company's situation, makes it possible to identify more early the companies on which support actions can be offered to the company manager. The innovations relate to: (1) The development of a detection algorithm that uses relevant data and variables and effectively detects companies in difficulty (URSSAF, DIRECCTE, Banque de France data, etc.); (2) The development of a data loading computer system capable of regularly and automatically refreshing data from operational databases. The objective is to dynamically detect 2 to 5 new SMEs per month on the scale of Bourgogne Franche-Comté. Expected impacts in terms of digital transformation: an even more effective decentralized State action to support weakened companies. Ultimately, it is a real “secure social network” centered on the company which will become the daily tool of public actors mobilized around companies in difficulty. Initiated in 2014 on a very local scale, the national deployment of Weak Signals was approved on April 3, 2019 thanks to the signing of an agreement by the historical partners of the project. This partnership allows the establishment of a long-term team that makes scaling possible.",National,France,"Ministry of the Economy, Finance and Recovery - General Directorate of Enterprises (DGE) / Ministry of Labor (DGEFP)",Governmental,2021/01/01,Unknown,,Economic affairs,"General economic, commercial and labour affair",Unknown,Unknown,Machine learning,Unknown,Unknown
Against pornography - Analysis of suspicious material ,Unknown,https://www.behoerden-spiegel.de/2021/05/25/ki-im-kampf-gegen-kinderpornografie/,,"For the prosecution of the distribution, acquisition and possession of child and youth pornographic material for children and adolescents, a large amount of secured and possibly evidence-relevant data must be analysed on a regular basis. For example, non-justiciable holiday pictures must be from child pornography.  An automated image recognition system analyses possible images and sort out those that are most likely to depict child or youth pornography. These are then forwarded to the case worker for further investigation. Suspected child or youth pornography images that are submitted to the public prosecutor's office for a decision.",National,Germany,Cologne City,Governmental,2021/01/01,Unknown,,Public order and safety,Police Services,Unknown,Unknown,Computer vision,Unknown,Unknown
AI - ARC-D - Automatic Road Condition Detection,Unknown,https://palaimon.io/blog/arcd,,"Currently there is no automated collection of condition data for all federal motorways.  An up-to-date database and an automated assessment of the quality of individual stretches of motorway would be important, e.g. in order to initiate suitable maintenance measures at an early stage and thus prevent cost-intensive long-term damage.  A system is being developed, on the basis of image data previously classified by experts, that enables video data to be (partially) (partially) automated evaluation of video data in order to classify roads in terms of their condition. In the long term, other sensor data will also be incorporated.",National,Germany,"BMVI, Autobahn GmbH of the Federal Government",Governmental,2021/01/01,Unknown,,Economic affairs,Transport,Unknown,Unknown,Machine learning,Unknown,Unknown
C-19 - Interdepartmental chatbot on the topic of Corona.,Unknown,https://chatbot.it.bund.de/,,"Citizens want to receive quick and easy-to-understand information, also about Covid 19 issues. Various channels are available to them for this purpose (including post, e-mail, telephone, personal auditions), but some of these are tied to opening hours and tie up staff resources in the authorities. Since the beginning of the pandemic, the number of enquiries in the public services has increased by up to ten times. A chatbot automatically answers questions from citizens. In the process, existing FAQs are entered as building blocks for a dialogue. In the future, chatbots will have functions for creating applications and clarifying status. The AI components will used primarily for speech recognition, but also for processing the dialogues conducted. C-19 Chatbot provides pre-formulated answers and references to further sources of information",National,Germany,ITZBund ,Governmental,2021/01/01,Unknown,,General public services,General services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Child benefit - Voice assistant for parents support,Unknown,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,,"Parents are required by law to provide the registry office with information on the registration of their child in the first days after the birth of their child to the registrar's office, to determine the name and to create the first formal thus also create the first formal prerequisite for receiving parental and child benefits. The bureaucratic burden is increased by the fact that documents are requested at different places in a redundant manner and that there is usually (still) no electronic data exchange. Immediately after the birth, this creates additional work for many parents - in addition to the often tense domestic situation.  The guiding principle of the project is: ""The data runs, not the parents"". First, in 2018, a citizen-friendly, only three-page combination form was developed for entering all necessary data once. Thanks to a cross-institutional parents can hand it in directly at the maternity clinic, and the cooperation partners take care of everything else. take care of everything else. Parents now receive their child's birth certificate by post much faster. The parents now receive their child's birth certificate, the tax ID, the entry in the registration system and the child benefit notice much more quickly by post. The child benefit is transferred directly to their account. On this basis, an online service was service was developed in 2019, which will initially be offered as a pilot to a limited target group in June 2020. at the Asklepios Clinic in Altona. The pilot also includes the use of a voice assistance system to enable the combined application to be completed more easily and with fewer barriers. At stationary terminals in clinics or via tablets or smartphones, parents are guided linguistically through the process. guided through the process. Output of the application data at the responsible registry offices or the family insurance fund. A downstream system checks whether possible follow-up questions are required. Additional link: https://www.hamburg.de/kinderleicht-zum-kindergeld/14362340/ki-kinderleicht-zum-kindergeld/ Additional link: https://www.fokus.fraunhofer.de/de/dps/projekte/Kinderleicht_zum_Kindergeld",National,Germany,Amt für IT und Digitalisierung in der Senatskanzlei der Freien,Governmental,2021/01/01,Unknown,,Social protection,Family and children.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Germany's Federal Office for Migrants and Refugees - Refugee Language Detection,Unknown,https://www.dw.com/en/automatic-speech-analysis-software-used-to-verify-refugees-dialects/a-37980819,,"Germany's Federal Office for Migrants and Refugees uses a voice recognition software that seeks to identify which country migrants without documentation are from. The Federal Office for Migrants and Refugees said the automated new system would begin within two weeks. The aim is to detect Arabic-speaking migrants claiming to be Syrian to increase their chances of asylum. The new software will run alongside techniques already in use to establish a person's identity. A variety of data will be examined, including the asylum-seeker's documentation, before a final decision is made. If necessary, officials will also seek expert opinion. Linguists argue it would, however, be challenging for an automatic machine to be completely accurate, as language and vocabulary are ever-changing, reducing the effectiveness and accuracy. ",National,Germany,Federal Office for Migration and Refugees (BAMF),Governmental,2021/01/01,Unknown,,Public order and safety,Public order and safety n.e.c.,Unknown,Unknown,Audio processing,Unknown,Unknown
Govbot -  Administrative search engine for citizens' enquiries ,Unknown,https://publicplan.de/projekt/verwaltungssuchmaschine-nrw,,"GovBot which is in use with the administrative search engine of the administration of the German State North Rhine-Westphalia. The search engine for administrative matters guarantees citizens easy and clear access to information. It indexes all websites of the state of North Rhine-Westphalia, the regional associations, many chambers, all districts and municipalities of the state of North Rhine-Westphalia and thus accesses over 12 million individual websites in a search index. Using their own search interface, users can search for administrative terms and problems, are pointed out to correct administrative terms with search word recommendations and, if necessary, are given specific responsibilities for a problem. The full text search result - broken down by administrative level - completes the offer, with a map section showing the specific location of the relevant authority. https://www.verwaltungssuchmaschine.nrw/",Regional,Germany,Ministerium für Inneres und Kommunales des Landes Nordrhein-Westfalen,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Searching,Unknown,Unknown
Notification procedure - Automatic control of accident occurring at the workplace,Unknown,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,,"If an accident occurs at the workplace or on the way to and from work caused by a third party, the Employer's Liability Insurance Association checks whether this third party can be held liable. In the case of suspected recourse, a standardised document was forwarded to the central office for recourse proceedings and manually pre-checked.  Based on about one million completed (successful and unsuccessful) recourse and unsuccessful) subrogation proceedings, an AI is trained to assess to what extent there is a sufficient probability of successful subrogation proceedings in current and old cases. exists in current and old cases. Using text mining, the data is also searched for critical keywords to provide further to provide further supporting information for the later decision by the case handler. (Were the police called? Was there an assault?). The forecasts and all information necessary for the decision are made available to the recourse department via a web interface. The AI calculates the plausibility for a possible recourse procedure, the amount of the total costs and at the same time forecasts the probability of success. ",National,Germany,"Berufsgenossenschaft Energie Textil Elektro Medienerzeugnisse (BG ETEM)",Governmental,2021/01/01,Unknown,,Economic affairs,"General economic, commercial and labour affair",Unknown,Unknown,Natural language processing,Unknown,Unknown
Study certificates - Automatic recognition for applying for child benefit,Unknown,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen ,,"To apply for child benefit, the current certificate of study of the child in question must be submitted twice a year. This results in a high volume of documents to be checked by hand, especially since the German universities could not agree on a uniform form.The client uploads the certificate of study to an appropriate website. The text of the certificate of study is extracted with OCR (Optical Character Recognition) and transferred to the system for classification. Four issues are checked: -Is it a certificate of study (yes/no) and with what probability (score)? probability (score)? -Is it the right child? -Is it the correct validity period/semester? -Is it a known German university? The result of the classification is displayed to the employees in the specialist procedure of the family benefits office. At the same time, the result of the check procedure ""Studienbescheinigung ja /nein"" (certificate of study yes /no) is indicated. This must then be actively accepted by the employee.  The training data currently consists of 60,000 study certificates that are semi-automatically annotated and annotated and then used for training. Using a specially developed algorithm, the personal data is anonymised before classification and can therefore also be used as training data. and can therefore also be used as training data. The classification of the study certificate is carried out by: Naive Base/Support Vector Machine / Logistic Regression. To NLP (Natural Language Processing), Named Entity Recognition is used for data extraction.",National,Germany,Bundesagentur für Arbeit,Governmental,2021/01/01,Unknown,,Social protection,Family and children.,Unknown,Unknown,Natural language processing,Unknown,Unknown
CERTH-MUKA - Public Organizations Multi-factor Misinformation Handling ,Unknown,https://www.etapasproject.eu/usecases/post-4/,,"A pilot project of the ETAPAS project. The deployment of AI for fake news detection and prioritization of emerging issues in the municipality of Katerini (Greece) is assessed by the ETAPAS framework to identify all relevant ethical and social risks and propose mitigation actions, eliminating any relevant risks and unforeseen consequences.",Local,Greece,ETAPAS project: Municipality of Katerini ,Governmental,2021/01/01,Unknown,,General public services,General public services n.e.c.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Home Quarantine App - Supporting the use of electronic control for home quarantine,Unknown,https://metamorphosis.org.mk/wp-content/uploads/2021/04/algovrithms_2.0_report-2021.pdf,,"In early May 2020, a Government Decree has allowed the use of electronic control for home quarantine. The developer company, Asura Technologies, who approached the government with the idea of the Home Quarantine App. Asura is a Hungarian company with experience facial recognition and GPS-location technologies. Though all personal data remains with the state and Asura has no access to them (they just establish a connection between them), the app itself is operated by the developer company.The use of the app is voluntary; however, the relevant decree encourages its use as the fines for infringement of quarantine rules are lower if one agrees to use the app.",National,Hungary,Unknown,Governmental,2021/01/01,Unknown,,Health,Health n.e.c.,Unknown,Unknown,Computer vision,Unknown,Unknown
TÉBA - Decision on the Maternity Benefit  following the family support scheme of the Hungarian State Treasury ,Unknown,https://metamorphosis.org.mk/wp-content/uploads/2021/04/algovrithms_2.0_report-2021.pdf,,"The Treasury operates some other complex algorithms, such as an ASP-system for local governments that aims to:    Support local governments in the performance of their tasks and internal operation, the development and electronic development of organizations and processes, the improvement of efficiency, and the reduction of their costs,   Monitor the management of local governments with modern tools and methods.   Monitor the financing mechanisms of the local government subsystem.   Provide access to electronic administration services for the population and businesses living in the affected areas on a single platform in certain municipal administration processes.   Another example is the KIRA system, which provides centralized payroll accounting for employees of state and municipal budget bodies (government officials, civil and public servants, foster parents, and other state employees). However, though the above-mentioned systems are suitable to perform statistical and (risk) analysis, they do not involve the narrowly interpreted automated-decision making.",National,Hungary,Unknown,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,AI Services,Unknown,Unknown
Véda-KAFIR-ROBOTZSARU (‘Robocop’) - System Operated by the Police for Traffic Safety Automated Processing,Unknown,https://metamorphosis.org.mk/wp-content/uploads/2021/04/algovrithms_2.0_report-2021.pdf,,"Véda is an intelligent road traffic camera system, which provides data to KAFIR (Közlekedésbiztonsági Automatizált Feldolgozó és Információs Rendszer - Traffic Safety Automated Processing and Information System). Together with the solutions provided by Robotzsaru (‘Robocop’), an integrated administration, case processing and electronic records management system, basically the main software of the police, fines for road traffic violations are almost automatic The cameras record the registration number, speed of the vehicle, the coordinates of the location, the date and time of the event. This data is transferred to the KAFIR, which cross-checks data with the traffic registry (e.g., if the vehicle is stolen) and uploads everything together in the Robotzsaru IT system. The generated files are then classified and transmitted to the responsible authority. Up to this point, there is no possibility for human interference. Possible infringements are punishable under no-fault liability and the data is unquestionable, even if the decision is made automatically. However, there is an ex-post check by the administrator.",National,Hungary,NAV,Governmental,2021/01/01,Unknown,,Economic affairs,Transport,Unknown,Unknown,Computer vision,Unknown,Unknown
The Dublin Beat - Citizen opinion analysis,Unknown,https://smartdublin.ie/smart-dublin-explores-how-ai-social-media-can-help-improve-the-city-region/,,"The Dublin Beat analyses citizen opinions in the Dublin Region for an overview of their most pressing concerns. Each month public tweets are collated by the AItext analytics platform Citibeats, whose artificial intelligence algorithms have been trained for understanding opinions in the local context of Dublin. This can assist local authorities to better understand how local people feel about civic issues.  The resulting analysis based on the gathered online data is presented via visual dashboards and through monthly reports provided online. The different reports give an overview of key issues such as how people feel about environmental issues, cultural events or city region developments expressed on the online media. The Dublin Beat can help local authorities to better understand how citizens feel about key issues and ensure that civic efforts and policy reflect the needs of communities. But of course, it is important to note that these insights are indicative only of the sentiments expressed by a cohort of citizens who use social media. Local authorities employ other methods to ensure truly inclusive citizen engagement.",Local,Ireland,Municipality of Dublin,Governmental,2021/01/01,Unknown,,General public services,R&D general public services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
VDA - Voicebot on calls from Irish taxpayer on tax clearance,Unknown,https://www.ops2020.gov.ie/actions/innovating-for-our-future/innovation/emerging-technology/artificial-intelligence/revenue-chatbot/,,"In early 2018, the Irish Revenue Commissioners began investigating the potential of Artificial Intelligence to provide a more efficient, effective experience for customers using their telephony services. A pilot project was initiated to examine if AI based Natural Language Processing (NLP) technologies could be used to deliver an improved customer service, reduce costs and increase efficiencies. This resulted in the implementation of a Virtual Digital Agent (VDA) or voicebot which was designed to focus on a subset of calls from the Irish taxpayer relating to tax clearance. On a daily basis, taxpayers contact Irish Revenue tax clearance customer support asking how to apply for tax clearance; enquiring what their current tax clearance status is; requesting more information on expired, refused & rescinded tax clearance applications as well as just looking for information on tax clearance itself. It is reported that currently, up to 50% of calls were handled from start to finish by the voicebot,  70% of first-time applicants engaged with the voicebot when submitting their application, 75% of tax clearance holders were able to retrieve their tax clearance access number (TCAN). Only in 10% of the calls, the calls were transferred to a human operator due to the inability of the voicebot to understand the request. ",National,Ireland,Irish Revenue Commissioners,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Audio processing,Unknown,Unknown
Borbot - Virtual assistant for museums,Unknown,https://borbot.it/,,"Borbot  (acronym for Bourbons and Robotics) is a virtual assistant, adopted by the National Museum of the Royal Palace of Caserta, which through machine learning techniques is able to answer user questions, providing detailed tourist information and news about the monument. The mobile system supports the Museum's front office service and allows customer service staff to concentrate on the services with greater added value.",Local,Italy,Reggia di Caserta,Governmental,2021/01/01,Unknown,,"Recreation, culture and religion",Cultural services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
Noovle - Management of health documentation,Unknown,https://www.noovle.ch/project/arsenal-it-centro-veneto-ricerca-e-innovazione-per-la-sanita-digitale/,,"Machine Learning techniques are used for the automatic identification of the salient parts of the discharge letters in order to automatically identify the diagnoses present therein according to the international coding ICD-9-CM. This allows to develop better services connected to the electronic health record, capable of offering added value both to the clinical environment (by developing applications to support clinical decisions) and to that of regional governance (population medicine, prevention, etc.). the solution is adopted by the Veneto Region owning the electronic health record initiative and being globally in charge of the regional healthcare system. Also documented by Google: https://cloud.google.com/customers/veneto-region",Regional,Italy,Veneto Region ,Governmental,2021/01/01,Unknown,,Health,R&D health.,Unknown,Unknown,Machine learning,Unknown,Unknown
Pierino - PIatform for the extraction and retrieval of online information,Unknown,https://www.researchgate.net/publication/323280575_NLP_and_Public_Engagement_the_Case_of_the_Italian_School_Reform,,"Pierino (acronym for PIatform for the extraction and retrieval of online information) is a platform for the automatic analysis of linguistic data, which works through AI semantic analysis techniques and modules for the automatic treatment of natural language.The platform was used for the first time by the Ministry of Education to analyze the data of the public consultation ""The good school"" and made it possible to process and synthesize 270 thousand comments in less than a week, making it possible to significantly reduce analysis times of the questionnaires. The platform was designed in such a way to be as flexible as possible to quickly process data from future consultations.",National,Italy,Ministry of Education,Governmental,2021/01/01,Unknown,,Education,R&D education.,Unknown,Unknown,Natural language processing,Unknown,Unknown
R1 - humanoid robot,Unknown,https://www.dongnocchi.it/news-ed-eventi/@news/robot-e-realta-virtuale-a-technology-hub-ecco-la-riabilitazione-innovativa,,"R1, the humanoid robot designed to assist us on several occasions. R1 is equipped with sophisticated mechanics, sensors and artificial intelligence that make it one of the most complete humanoids on the international scene. R1, used as a pilot project at the ETAPAS H2020 project (https://www.etapasproject.eu/usecases/post-2/),  will be able to be used as a low-cost assistive-rehabilitation robot in rehabilitation gyms to integrate more traditional treatments, support the clinical-assistance staff in the ward, as well as at the patient's home, where he can bring objects, help the assisted person to find them or to take them if difficult to reach. R1 will also be able to remember appointments or take medicines and recognize falls to manage any emergencies.",National,Italy,ETAPAS project: Fondazione Don Gnocchi (Italy),Governmental,2021/01/01,Unknown,,Health,"Medical products, appliances and equipment.",Unknown,Unknown,Automated reasoning,Unknown,Unknown
Smart Planner - Navigation planning assistant,Unknown,https://www.smartcommunitylab.it/app/,,"A planning navigation app (""Viaggia + <name of the city>"") which is based on AI techniques and is able to suggest users who connect through an app from their smartphone the fastest and most ecological solutions to reach a specific destination in the city. Through the analysis of data intercepted from multiple sources, the app gives personalized indications on which public, private or shared means of transport should be used to reduce polluting emissions and travel times. The Smart Planner solution is reported to have been in use in the cities of Trento and Rovereto as well as the Emilia Romagna region.",Local,Italy,"Smart Community Lab an initiative of the FBK research centre  , Smart Community Lab: an initiative of the FBK research centre  (Trento, Italy)",Governmental,2021/01/01,Unknown,,Economic affairs,Transport,Unknown,Unknown,Planning and Scheduling,Unknown,Unknown
TALIA SF - Extract and organize knowledge coming from the analysis of a huge quantity of textual documents,Unknown,https://social-and-creative.interreg-med.eu/no-cache/press-room/news/detail/actualites/the-sc-community-tools-the-semantic-framework/,,The TALIA SF is able to extract and organize knowledge coming from the analysis of a huge quantity of textual documents produced by the projects funded by the Interreg MED Programme. This knowledge proves to be invaluable to the management of innovation policies and for the capitalization of the most successful projects results. TALIA semantic framework is handled by Innovapuglia the in-house company of the Regional Government of Apulia.,National,Italy,Regional Government of Apulia,Governmental,2021/01/01,Unknown,,General public services,R&D general public services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
"Toscana Open Research - Allows users to access information through ""queries"" without having to know the technical terms",Unknown,http://www.toscanaopenresearch.it/explore-the-data/#/,,"The portal of the Tuscany Region designed to communicate and enhance the Tuscan system of research, innovation and higher education and to promote increasingly transparent and inclusive governance. The integration of data through a domain ontology allows users to query without having to use the technical terminology related to the physical organisation of databases and their complex internal structure.",Regional,Italy,Regional Conference for Research and Innovation,Governmental,2021/01/01,Unknown,,General public services,R&D general public services.,Unknown,Unknown,Knowledge representation,Unknown,Unknown
Automatic decision making of the Electronic Declaration System of the State Revenue Service,Unknown,https://www.vid.gov.lv/en/electronic-declaration-system,,"The Electronic Declaration System (EDS) of the State Revenue Service shall use the decision-making automating elements by automatically verifying the submitted declarations. It allows the approval of a declaration up to 2/3 which does not reveal non-compliance and thus allows experts to devote time only to checking declarations where non-compliance has been detected. In the future, there is great potential for ML solutions that will help to explore the client of public administration by promoting more efficient services for citizens, reducing the shadow economy and money laundering. At: https://www.vid.gov.lv/en/electronic-declaration-system ""EDS provides automated verification of correctness of document completion and information of the customer about results.""",National,Latvia,State Revenue Service ,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Machine learning,Unknown,Unknown
FITS ITEMS - Road safety ,Unknown,https://investinlatvia.org/en/key-sectors/sectors/smart-city,,"The State Public Traffic Safety Directorate uses the FITS (""Future Intelligent Transport Systems"") ITEMS, which significantly improves road safety and saves people's lives. This AI system is capable of recognizing car numbers for driving speed, ensurance and roadworthiness test control on roads. At the end of 2018, the number of road accidents decreased by 43% compared to the number prior to the installation of photo cameras (1 084, after 613) at the roadside stages where photo cameras were installed and operated. ",National,Latvia,State Public Traffic Safety Directorate,Governmental,2021/01/01,Unknown,,Economic affairs,Transport,Unknown,Unknown,Computer vision,Unknown,Unknown
Hugo - Virtual Assistant for governments,Unknown,https://ec.europa.eu/cefdigital/wiki/download/attachments/61932141/2_04_Janis%20Ziedins_Artus%20Vasiljevskis_Hugo.lv-AI_powered_service.pdf?version=1&modificationDate=1544438787726&api=v2,,"The institution of direct administration under the authority of the Minister for Culture, the Culture Information Systems Centre (hereinafter - KISC), has commenced a single development of a virtual assistant platform of State administration. KISC has created and further developed the language technology platform for public administration, Hugo.lv. The Hugo.lv website provides machine translation, speech recognition and synthesis. National regulatory authorities will have to face challenges when they start using a virtual assistant, as they will have to learn to adapt it to their needs. It should be noted that regulatory frameworks often change and institutions will have to maintain an up-to-date virtual assistant knowledge base. This is a NLP Chatbot for Government which provides Software as a Service (SaaP) possibility on a shared platform.",National,Latvia,Culture Information Systems Centre Latvia,Governmental,2021/01/01,Unknown,,General public services,General services.,Unknown,Unknown,Natural language processing,Unknown,Unknown
LAA - Pilot lung cancer risk assessment,Unknown,https://issuu.com/rigastehniskauniversitate/docs/innovation_2018_rudens_new_eng_link/5,,"In Latvia, a pilot project for developing lung cancer risk assessment, early diagnosis and forecasting techniques based on large data analysis. Doctors acknowledge that treatment is more effective when it is detected as soon as possible. Over the course of the project, ML is intended to be used to diagnose cancer. In this area, the Latvian Investment and Development Agency (LAA) has approved two strategic commercialisation projects under the “Aid for Development of Technology Transfer System” programme for a total amount of EUR 600 thousand. In the event of successful cooperation, a genomics centre may be developed in Latvia, with the necessary technical and research infrastructure, which, using data stored in the “data lake” (data lake), would be able to achieve European excellence in applied research and services. In turn, the genomics centre would result in new and unique data.",National,Latvia,Unknown,Governmental,2021/01/01,Unknown,,Health,Hospital services.,Unknown,Unknown,Knowledge representation,Unknown,Unknown
Toms - Chatbot facilitating customer communication with the State Revenue service,Unknown,https://www.vid.gov.lv/,,"A Chatbot facilitating customer communication with the State Revenue service (working time, locations, etc.), registration of economic operators, use of the Electronic Declaration System (access facilities, general issues on EDs), annual income statement and eligible expenditure (mandatory submission, types of eligible expenditure, repayment and payment deadlines), as well as the mobile application “Eligible expenditure”. Consulting is availability 24/7, freeing employees from answering typical questions.",National,Latvia,State Revenue Service,Governmental,2021/01/01,Unknown,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Unknown,Unknown,Natural language processing,Unknown,Unknown
